TOTAL routes trouvees: 1029
TOTAL sous JwtAuthGuard: 169

=== ROUTES DU DOMAINE DE L'ECRAN ===
Get    /v1/city/district/:id/buffer                             guard=JWT   ./citysim/buffer_bloat/buffer-bloat.controller.ts:56
Get    /v1/city/district/:id/cohesion                           guard=JWT   ./citysim/cohesion/cohesion.controller.ts:54
Get    /v1/city/district/:id/flow                               guard=JWT   ./citysim/flow_cells/flow_cells.controller.ts:48
Get    /v1/city/district/:id/heat                               guard=JWT   ./citysim/heat/heat.controller.ts:52
Get    /v1/city/district/:id/inspection                         guard=JWT   ./citysim/inspection/inspection.controller.ts:76
Get    /v1/city/district/:id/interior                           guard=JWT   ./citysim/district_interior/district-interior.controller.ts:96
Get    /v1/city/district/:id/leks                               guard=JWT   ./citysim/deal_lek/deal-lek.controller.ts:50
Get    /v1/city/district/:id/stash                              guard=JWT   ./citysim/erlang_stash/erlang-stash.controller.ts:59
Get    /v1/city/district/:id/throughput                         guard=JWT   ./citysim/dwell_time/dwell-time.controller.ts:57
Get    /v1/city/district/:id/unconformity                       guard=JWT   ./citysim/unconformity/unconformity.controller.ts:56
Get    /v1/economy/wallet                                       guard=JWT   ./economy/economy.controller.ts:43
Get    /v1/i18n/bundle                                          guard=AUCUN ./i18n/i18n.controller.ts:32
Get    /v1/me/buildings                                         guard=JWT   ./citysim/district_interior/player-buildings.controller.ts:89
Get    /v1/operational/building/:id                             guard=JWT   ./operational/real_estate/real-estate.controller.ts:227
Post   /v1/operational/building/:id/convert                     guard=JWT   ./operational/real_estate/real-estate.controller.ts:133
Post   /v1/operational/building/:id/deposit-cash                guard=JWT   ./operational/money_holding/money-holding.controller.ts:85
Post   /v1/operational/building/:id/repair                      guard=JWT   ./operational/enforcement/repair.controller.ts:55
Post   /v1/operational/building/:id/schedule-maintenance        guard=JWT   ./operational/maintenance/maintenance.controller.ts:68
Post   /v1/operational/building/:id/upgrade-equipment-tier      guard=JWT   ./operational/real_estate/real-estate.controller.ts:213
Post   /v1/operational/building/:id/upgrade-hub-tier            guard=JWT   ./operational/real_estate/real-estate.controller.ts:195
Post   /v1/operational/building/:id/upgrade-money-holding-tier  guard=JWT   ./operational/money_holding/money-holding.controller.ts:64
Post   /v1/operational/building/:id/upgrade-tier                guard=JWT   ./operational/real_estate/real-estate.controller.ts:176
Post   /v1/operational/building/:id/withdraw-cash               guard=JWT   ./operational/money_holding/money-holding.controller.ts:119
Post   /v1/operational/building/purchase                        guard=JWT   ./operational/real_estate/real-estate.controller.ts:90
Post   /v1/operational/buildings/mass-schedule-maintenance      guard=JWT   ./operational/maintenance/maintenance.controller.ts:91
Get    /v1/operational/dealer/:id                               guard=JWT   ./operational/selling/selling.controller.ts:121
Post   /v1/operational/dealer/:id/collect                       guard=JWT   ./operational/selling/selling.controller.ts:94
Post   /v1/operational/dealer/assign                            guard=JWT   ./operational/selling/selling.controller.ts:63
Get    /v1/operational/dealers                                  guard=JWT   ./operational/selling/selling.controller.ts:138
Get    /v1/operational/laundering                               guard=JWT   ./operational/laundering/laundering.controller.ts:170
Get    /v1/operational/laundering/:nodeId                       guard=JWT   ./operational/laundering/laundering.controller.ts:183
Get    /v1/operational/laundering/:nodeId/pipeline              guard=JWT   ./operational/laundering/laundering.controller.ts:203
Post   /v1/operational/laundering/inject                        guard=JWT   ./operational/laundering/laundering.controller.ts:79
Post   /v1/operational/laundering/stage                         guard=JWT   ./operational/laundering/laundering.controller.ts:129
Post   /v1/session/open                                         guard=JWT   ./session/session.controller.ts:57
Get    /v1/world/districts                                      guard=AUCUN ./citysim/world/world.controller.ts:39
n = 36
