--- rangée des COMPTEURS (milieu du bloc, sous les chiffres) ---

=== /home/erutheone/project/mafia-unity-B/Tools/juge-visuel/reputation/r1-2026-08-30/reference/m-120.png taille=(900, 1752) ligne y=668
      x     0..    2  l=    3 px    0.33 %L   rgb=(58, 67, 86)
      x     3..   17  l=   15 px    1.67 %L   rgb=(19, 24, 30)
      x    18..   20  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x    21..   34  l=   14 px    1.56 %L   rgb=(11, 16, 22)
      x    35..   41  l=    7 px    0.78 %L   rgb=(16, 22, 31)
      x    42..   44  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x    45..   77  l=   33 px    3.67 %L   rgb=(18, 28, 35)
      x    78..  295  l=  218 px   24.22 %L   rgb=(12, 19, 27)
      x   296..  298  l=    3 px    0.33 %L   rgb=(17, 28, 35)
      x   299..  301  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   302..  319  l=   18 px    2.00 %L   rgb=(33, 34, 33)
      x   320..  322  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   323..  355  l=   33 px    3.67 %L   rgb=(18, 28, 35)
      x   356..  573  l=  218 px   24.22 %L   rgb=(12, 19, 27)
      x   574..  576  l=    3 px    0.33 %L   rgb=(17, 28, 35)
      x   577..  579  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   580..  597  l=   18 px    2.00 %L   rgb=(34, 35, 34)
      x   598..  600  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   601..  633  l=   33 px    3.67 %L   rgb=(18, 28, 35)
      x   634..  851  l=  218 px   24.22 %L   rgb=(12, 19, 27)
      x   852..  854  l=    3 px    0.33 %L   rgb=(17, 28, 35)
      x   855..  857  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   858..  878  l=   21 px    2.33 %L   rgb=(15, 20, 29)
      x   879..  881  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x   882..  896  l=   15 px    1.67 %L   rgb=(25, 28, 30)
      x   897..  899  l=    3 px    0.33 %L   rgb=(58, 67, 86)

=== /home/erutheone/project/mafia-unity-B/Assets/Screenshots/screen_b3_reputation_1080x1920.png taille=(1080, 1920) ligne y=400
      x     0..   17  l=   18 px    1.67 %L   rgb=(13, 13, 22)
      x    18..   20  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x    22..   45  l=   24 px    2.22 %L   rgb=(13, 13, 22)
      x    46..   49  l=    4 px    0.37 %L   rgb=(42, 53, 73)
      x    50..  405  l=  356 px   32.96 %L   rgb=(13, 13, 23)
      x   407..  409  l=    3 px    0.28 %L   rgb=(42, 53, 73)
      x   410..  431  l=   22 px    2.04 %L   rgb=(13, 13, 22)
      x   432..  434  l=    3 px    0.28 %L   rgb=(42, 53, 73)
      x   435..  714  l=  280 px   25.93 %L   rgb=(13, 14, 23)
      x   716..  718  l=    3 px    0.28 %L   rgb=(42, 53, 73)
      x   719..  739  l=   21 px    1.94 %L   rgb=(13, 13, 22)
      x   740..  743  l=    4 px    0.37 %L   rgb=(42, 53, 73)
      x   744.. 1029  l=  286 px   26.48 %L   rgb=(13, 13, 23)
      x  1030.. 1033  l=    4 px    0.37 %L   rgb=(39, 48, 67)
      x  1034.. 1057  l=   24 px    2.22 %L   rgb=(13, 13, 22)
      x  1059.. 1061  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x  1062.. 1079  l=   18 px    1.67 %L   rgb=(13, 13, 22)

--- bloc MIROIR : partage portrait / colonne des voyants ---

=== /home/erutheone/project/mafia-unity-B/Tools/juge-visuel/reputation/r1-2026-08-30/reference/m-120.png taille=(900, 1752) ligne y=1300
      x     0..    2  l=    3 px    0.33 %L   rgb=(58, 67, 86)
      x     3..   17  l=   15 px    1.67 %L   rgb=(16, 19, 21)
      x    18..   20  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x    21..   41  l=   21 px    2.33 %L   rgb=(11, 16, 22)
      x    42..   44  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x    45..  854  l=  810 px   90.00 %L   rgb=(8, 10, 10)
      x   855..  857  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   858..  878  l=   21 px    2.33 %L   rgb=(11, 15, 20)
      x   879..  881  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x   882..  896  l=   15 px    1.67 %L   rgb=(22, 23, 22)
      x   897..  899  l=    3 px    0.33 %L   rgb=(58, 67, 86)

=== /home/erutheone/project/mafia-unity-B/Assets/Screenshots/screen_b3_reputation_1080x1920.png taille=(1080, 1920) ligne y=1080
      x     0..   17  l=   18 px    1.67 %L   rgb=(13, 13, 22)
      x    18..   20  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x    22..   45  l=   24 px    2.22 %L   rgb=(13, 13, 22)
      x    46..   49  l=    4 px    0.37 %L   rgb=(42, 53, 73)
      x    50..   71  l=   22 px    2.04 %L   rgb=(13, 13, 14)
      x    72..   74  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x    76..  491  l=  416 px   38.52 %L   rgb=(13, 22, 34)
      x   493..  496  l=    4 px    0.37 %L   rgb=(170, 136, 60)
      x   497.. 1029  l=  533 px   49.35 %L   rgb=(13, 13, 13)
      x  1030.. 1033  l=    4 px    0.37 %L   rgb=(39, 48, 67)
      x  1034.. 1057  l=   24 px    2.22 %L   rgb=(13, 13, 22)
      x  1059.. 1061  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x  1062.. 1079  l=   18 px    1.67 %L   rgb=(13, 13, 22)

--- une CARTE de règle (col ouvert) ---

=== /home/erutheone/project/mafia-unity-B/Tools/juge-visuel/reputation/r1-2026-08-30/reference/m-120.png taille=(900, 1752) ligne y=876
      x     0..    2  l=    3 px    0.33 %L   rgb=(58, 67, 86)
      x     3..   17  l=   15 px    1.67 %L   rgb=(17, 22, 27)
      x    18..   20  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x    21..   41  l=   21 px    2.33 %L   rgb=(11, 16, 22)
      x    42..   44  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x    45..   68  l=   24 px    2.67 %L   rgb=(9, 10, 11)
      x    69..   71  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x    72..  204  l=  133 px   14.78 %L   rgb=(17, 24, 35)
      x   205..  218  l=   14 px    1.56 %L   rgb=(12, 17, 24)
      x   219..  275  l=   57 px    6.33 %L   rgb=(22, 25, 27)
      x   276..  288  l=   13 px    1.44 %L   rgb=(10, 15, 21)
      x   289..  419  l=  131 px   14.56 %L   rgb=(16, 23, 34)
      x   420..  422  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x   423..  452  l=   30 px    3.33 %L   rgb=(13, 15, 16)
      x   453..  455  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   456..  479  l=   24 px    2.67 %L   rgb=(17, 24, 35)
      x   480..  500  l=   21 px    2.33 %L   rgb=(40, 51, 69)
      x   501..  827  l=  327 px   36.33 %L   rgb=(17, 24, 35)
      x   828..  830  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   831..  854  l=   24 px    2.67 %L   rgb=(11, 12, 13)
      x   855..  857  l=    3 px    0.33 %L   rgb=(42, 54, 72)
      x   858..  878  l=   21 px    2.33 %L   rgb=(12, 18, 25)
      x   879..  881  l=    3 px    0.33 %L   rgb=(176, 141, 62)
      x   882..  896  l=   15 px    1.67 %L   rgb=(23, 26, 27)
      x   897..  899  l=    3 px    0.33 %L   rgb=(58, 67, 86)

=== /home/erutheone/project/mafia-unity-B/Assets/Screenshots/screen_b3_reputation_1080x1920.png taille=(1080, 1920) ligne y=616
      x     0..   17  l=   18 px    1.67 %L   rgb=(13, 13, 22)
      x    18..   20  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x    22..   45  l=   24 px    2.22 %L   rgb=(13, 13, 22)
      x    46..   49  l=    4 px    0.37 %L   rgb=(42, 53, 73)
      x    50..   71  l=   22 px    2.04 %L   rgb=(13, 13, 13)
      x    72..   74  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x    76..  219  l=  144 px   13.33 %L   rgb=(13, 22, 34)
      x   220..  329  l=  110 px   10.19 %L   rgb=(22, 22, 28)
      x   330..  492  l=  163 px   15.09 %L   rgb=(13, 22, 34)
      x   493..  496  l=    4 px    0.37 %L   rgb=(170, 136, 60)
      x   497..  532  l=   36 px    3.33 %L   rgb=(13, 13, 13)
      x   533..  535  l=    3 px    0.28 %L   rgb=(42, 53, 73)
      x   536..  560  l=   25 px    2.31 %L   rgb=(13, 22, 34)
      x   562..  585  l=   24 px    2.22 %L   rgb=(42, 53, 73)
      x   587.. 1004  l=  418 px   38.70 %L   rgb=(13, 22, 34)
      x  1005.. 1007  l=    3 px    0.28 %L   rgb=(42, 53, 73)
      x  1008.. 1029  l=   22 px    2.04 %L   rgb=(13, 13, 13)
      x  1030.. 1033  l=    4 px    0.37 %L   rgb=(39, 48, 67)
      x  1034.. 1057  l=   24 px    2.22 %L   rgb=(13, 13, 22)
      x  1059.. 1061  l=    3 px    0.28 %L   rgb=(176, 141, 61)
      x  1062.. 1079  l=   18 px    1.67 %L   rgb=(13, 13, 22)
